Metric,DQN_mean,DQN_std,RoundRobin_mean,RoundRobin_std
Tổng thời gian chạy (steps),300.0,0.0,300.0,0.0
Tổng tác vụ đã tạo,300.0,0.0,300.0,0.0
Tác vụ được tiếp nhận,300.0,0.0,300.0,0.0
Tác vụ bị bỏ qua,0.0,0.0,0.0,0.0
Tác vụ đã hoàn thành,31.21,1.6471,93.44,3.0561
Phần thưởng (reward),-3839.4957,86.9986,-2945.4857,86.9986
Tổng queue time trung bình,426.6106,9.6665,327.2762,9.6665
Độ lệch tải giữa servers,6.0332,0.1367,0.1405,0.0536
Tần suất chọn Server 0,1.0,0.0,0.3333,0.0
Tần suất chọn Server 1,0.0,0.0,0.3333,0.0
Tần suất chọn Server 2,0.0,0.0,0.3333,0.0
