Time,Total created,Total accepted,Total dropped,Total completed,Reward
1.0,1,1,0,0,0.5
2.0,2,2,0,1,2.5
3.0,3,3,0,2,2.5
4.0,4,4,0,2,0.5
5.0,5,5,0,2,0.5
6.0,6,6,0,4,4.5
7.0,7,7,0,5,2.5
8.0,8,8,0,7,4.5
9.0,9,9,0,7,0.5
10.0,10,10,0,8,2.5
11.0,11,11,0,8,0.0
12.0,12,12,0,8,0.0
13.0,13,13,0,10,4.0
14.0,14,14,0,10,-0.5
15.0,15,15,0,11,2.0
16.0,16,16,0,12,2.0
17.0,17,17,0,14,4.0
18.0,18,18,0,16,4.5
19.0,19,19,0,16,0.5
20.0,20,20,0,17,2.0
21.0,21,21,0,17,-0.5
22.0,22,22,0,17,-0.5
23.0,23,23,0,19,4.0
24.0,24,24,0,19,-0.5
25.0,25,25,0,20,1.5
26.0,26,26,0,20,-1.0
27.0,27,27,0,22,3.5
28.0,28,28,0,23,1.5
29.0,29,29,0,23,-1.0
30.0,30,30,0,24,1.0
31.0,31,31,0,25,1.0
32.0,32,32,0,27,3.5
33.0,33,33,0,27,-1.0
34.0,34,34,0,28,1.0
35.0,34,34,1,29,-4.0
36.0,35,35,1,30,1.5
37.0,36,36,1,33,6.0
38.0,37,37,1,34,1.5
39.0,38,38,1,35,2.0
40.0,39,39,1,36,2.0
41.0,40,40,1,36,-0.5
42.0,41,41,1,37,2.0
43.0,42,42,1,38,2.0
44.0,43,43,1,38,-0.5
45.0,44,44,1,38,-1.0
46.0,45,45,1,40,3.5
47.0,46,46,1,41,1.5
48.0,47,47,1,41,-1.0
49.0,48,48,1,42,1.0
50.0,49,49,1,43,1.0
51.0,50,50,1,46,6.0
52.0,51,51,1,47,2.0
53.0,52,52,1,47,-0.5
54.0,53,53,1,47,-1.0
55.0,54,54,1,48,1.0
56.0,55,55,1,49,1.0
57.0,56,56,1,50,1.0
58.0,57,57,1,51,1.0
59.0,58,58,1,53,3.5
60.0,59,59,1,54,1.5
61.0,60,60,1,55,1.5
62.0,61,61,1,55,-1.0
63.0,62,62,1,58,5.5
64.0,63,63,1,60,4.0
65.0,64,64,1,61,2.5
66.0,65,65,1,61,0.0
67.0,66,66,1,62,2.0
68.0,67,67,1,62,-0.5
69.0,68,68,1,65,6.0
70.0,69,69,1,65,0.0
71.0,70,70,1,65,-0.5
72.0,71,71,1,68,6.0
73.0,72,72,1,68,0.0
74.0,73,73,1,68,-0.5
75.0,74,74,1,70,4.0
76.0,75,75,1,71,2.0
77.0,76,76,1,72,2.0
78.0,77,77,1,73,2.0
79.0,78,78,1,74,1.5
80.0,79,79,1,75,2.0
81.0,80,80,1,76,2.0
82.0,81,81,1,76,-0.5
83.0,82,82,1,77,1.5
84.0,83,83,1,78,1.5
85.0,84,84,1,79,1.5
86.0,85,85,1,81,4.0
87.0,86,86,1,82,1.5
88.0,87,87,1,83,1.5
89.0,88,88,1,83,-0.5
90.0,89,89,1,84,1.5
91.0,90,90,1,85,1.5
92.0,91,91,1,87,4.0
93.0,92,92,1,87,-0.5
94.0,93,93,1,89,4.0
95.0,94,94,1,90,2.0
96.0,95,95,1,91,1.5
97.0,96,96,1,92,2.0
98.0,97,97,1,93,2.0
99.0,98,98,1,93,-0.5
100.0,99,99,1,93,-1.0
