Episode,Q-learning,Round_Robin,Priority
1,24.5,-94.0,25.0
2,24.5,-94.0,25.0
3,24.5,-94.0,25.0
4,24.5,-94.0,25.0
5,24.5,-94.0,25.0
6,24.5,-94.0,25.0
7,24.5,-94.0,25.0
8,24.5,-94.0,25.0
9,24.5,-94.0,25.0
10,24.5,-94.0,25.0
11,24.5,-94.0,25.0
12,24.5,-94.0,25.0
13,24.5,-94.0,25.0
14,24.5,-94.0,25.0
15,24.5,-94.0,25.0
16,24.5,-94.0,25.0
17,24.5,-94.0,25.0
18,24.5,-94.0,25.0
19,24.5,-94.0,25.0
20,24.5,-94.0,25.0
21,24.5,-94.0,25.0
22,24.5,-94.0,25.0
23,24.5,-94.0,25.0
24,24.5,-94.0,25.0
25,24.5,-94.0,25.0
26,24.5,-94.0,25.0
27,24.5,-94.0,25.0
28,24.5,-94.0,25.0
29,24.5,-94.0,25.0
30,24.5,-94.0,25.0
31,24.5,-94.0,25.0
32,24.5,-94.0,25.0
33,24.5,-94.0,25.0
34,24.5,-94.0,25.0
35,24.5,-94.0,25.0
36,24.5,-94.0,25.0
37,24.5,-94.0,25.0
38,24.5,-94.0,25.0
39,24.5,-94.0,25.0
40,24.5,-94.0,25.0
41,24.5,-94.0,25.0
42,24.5,-94.0,25.0
43,24.5,-94.0,25.0
44,24.5,-94.0,25.0
45,24.5,-94.0,25.0
46,24.5,-94.0,25.0
47,24.5,-94.0,25.0
48,24.5,-94.0,25.0
49,24.5,-94.0,25.0
50,24.5,-94.0,25.0
51,24.5,-94.0,25.0
52,24.5,-94.0,25.0
53,24.5,-94.0,25.0
54,24.5,-94.0,25.0
55,24.5,-94.0,25.0
56,24.5,-94.0,25.0
57,24.5,-94.0,25.0
58,24.5,-94.0,25.0
59,24.5,-94.0,25.0
60,24.5,-94.0,25.0
61,24.5,-94.0,25.0
62,24.5,-94.0,25.0
63,24.5,-94.0,25.0
64,24.5,-94.0,25.0
65,24.5,-94.0,25.0
66,24.5,-94.0,25.0
67,24.5,-94.0,25.0
68,24.5,-94.0,25.0
69,24.5,-94.0,25.0
70,24.5,-94.0,25.0
71,24.5,-94.0,25.0
72,24.5,-94.0,25.0
73,24.5,-94.0,25.0
74,24.5,-94.0,25.0
75,24.5,-94.0,25.0
76,24.5,-94.0,25.0
77,24.5,-94.0,25.0
78,24.5,-94.0,25.0
79,24.5,-94.0,25.0
80,24.5,-94.0,25.0
81,24.5,-94.0,25.0
82,24.5,-94.0,25.0
83,24.5,-94.0,25.0
84,24.5,-94.0,25.0
85,24.5,-94.0,25.0
86,24.5,-94.0,25.0
87,24.5,-94.0,25.0
88,24.5,-94.0,25.0
89,24.5,-94.0,25.0
90,24.5,-94.0,25.0
91,24.5,-94.0,25.0
92,24.5,-94.0,25.0
93,24.5,-94.0,25.0
94,24.5,-94.0,25.0
95,24.5,-94.0,25.0
96,24.5,-94.0,25.0
97,24.5,-94.0,25.0
98,24.5,-94.0,25.0
99,24.5,-94.0,25.0
100,24.5,-94.0,25.0
